Date,Open,High,Low,Close,Adj Close,Volume
7/11/2018,6306.870117,6405.589844,6293.680176,6394.359863,6394.359863,327667754
7/12/2018,6394.359863,6394.930176,6084,6253.600098,6253.600098,409078182
7/13/2018,6253.660156,6349.209961,6131.540039,6229.830078,6229.830078,319802271
7/14/2018,6229.609863,6332.459961,6190.180176,6268.75,6268.75,174416786
7/15/2018,6268.319824,6401.5,6245.75,6364.259766,6364.259766,218543291
7/16/2018,6364.259766,6761.839844,6349.830078,6740.549805,6740.549805,494264915
7/17/2018,6740.540039,7476.240234,6677.560059,7326.700195,7326.700195,799401451
7/18/2018,7326.759766,7590.649902,7253.709961,7383.390137,7383.390137,788460811
7/19/2018,7383.390137,7563.700195,7289.899902,7477.5,7477.5,522544440
7/20/2018,7477.100098,7676.549805,7279.339844,7333.930176,7333.930176,603034414
7/21/2018,7333.930176,7453.069824,7220.370117,7405.399902,7405.399902,297440355
7/22/2018,7405.399902,7569.279785,7345.25,7398.640137,7398.640137,355565264
7/23/2018,7398.640137,7798.589844,7376.660156,7718,7718,745533303
7/24/2018,7718,8485.709961,7692.160156,8395.820313,8395.820313,1166560702
7/25/2018,8395.80957,8481.110352,8061.069824,8170.22998,8170.22998,736530740
7/26/2018,8170.370117,8302.240234,7862.669922,7937.25,7937.25,643953970
7/27/2018,7937.100098,8278.009766,7806.25,8182.890137,8182.890137,646256012
7/28/2018,8182.879883,8238.040039,8070.040039,8230.870117,8230.870117,295872316
7/29/2018,8230.820313,8291.549805,8123.529785,8216.780273,8216.780273,280233415
7/30/2018,8216.700195,8273.610352,7867.439941,8176.060059,8176.060059,681120739
7/31/2018,8176.080078,8176.27002,7663.700195,7735.299805,7735.299805,765186307
8/1/2018,7736.25,7760.740234,7449.310059,7610.899902,7610.899902,595404848
8/2/2018,7610.899902,7713.319824,7470.859863,7542.339844,7542.339844,424093581
8/3/2018,7542.339844,7542.490234,7296.759766,7417.600098,7417.600098,586982505
8/4/2018,7417.600098,7490.890137,6940.149902,7017.890137,7017.890137,534002935
8/5/2018,7017.890137,7092.529785,6898.310059,7042.390137,7042.390137,368914046
8/6/2018,7042.569824,7160.399902,6854.790039,6945.779785,6945.779785,410408444
8/7/2018,6945.77002,7150.859863,6685.02002,6723.209961,6723.209961,575690006
8/8/2018,6723.290039,6723.990234,6133.029785,6285.02002,6285.02002,838853615
8/9/2018,6285.060059,6631.22998,6195.02002,6543.240234,6543.240234,575748446
8/10/2018,6543.25,6582.140137,6025.910156,6153.410156,6153.410156,639457019
8/11/2018,6152.950195,6488.549805,6014.259766,6242.540039,6242.540039,545722619
8/12/2018,6242.529785,6483.390137,6176.890137,6322.919922,6322.919922,366460108
8/13/2018,6322.410156,6545.02002,6157.029785,6263.200195,6263.200195,452431672
8/14/2018,6263.200195,6266.5,5891.870117,6199.600098,6199.600098,759847789
8/15/2018,6199.629883,6620.069824,6193.629883,6274.220215,6274.220215,852103141
8/16/2018,6274.220215,6478.069824,6217.330078,6323.810059,6323.810059,454679037
8/17/2018,6323.810059,6594.720215,6300.450195,6591.160156,6591.160156,477089455
8/18/2018,6591.180176,6622.160156,6322.439941,6405.709961,6405.709961,336744293
8/19/2018,6405.740234,6560.879883,6330.560059,6502.180176,6502.180176,253984821
8/20/2018,6502.240234,6537.540039,6248.390137,6269.899902,6269.899902,397981291
8/21/2018,6270.089844,6506.689941,6259.810059,6491.109863,6491.109863,396746063
8/22/2018,6491.089844,6890.790039,6264.339844,6366.129883,6366.129883,764005011
8/23/2018,6366.140137,6575.279785,6356.959961,6538.950195,6538.950195,340811486
8/24/2018,6539.129883,6736.830078,6481.759766,6708.959961,6708.959961,382456858
8/25/2018,6708.939941,6808.890137,6684.189941,6749.560059,6749.560059,258296664
8/26/2018,6749.709961,6793.169922,6588.47998,6720.600098,6720.600098,265820591
8/27/2018,6720.600098,6944.209961,6674.839844,6915.72998,6915.72998,405769271
8/28/2018,6915.919922,7136.709961,6877.200195,7091.379883,7091.379883,487789642
8/29/2018,7091.379883,7137.470215,6944.759766,7052,7052,356139022
8/30/2018,7051.609863,7072.640137,6818.689941,6998.759766,6998.759766,425475685
8/31/2018,6998.759766,7096.72998,6903.080078,7026.959961,7026.959961,349131152
9/1/2018,7026.959961,7272.029785,7025.580078,7203.459961,7203.459961,300301833
9/2/2018,7203.459961,7384.379883,7144.709961,7301.259766,7301.259766,447453370
9/3/2018,7301.25,7350.580078,7204.890137,7270.049805,7270.049805,309327793
9/4/2018,7270.049805,7417.649902,7246.759766,7369.859863,7369.859863,343762001
9/5/2018,7369.890137,7401.430176,6694.060059,6705.029785,6705.029785,797851163
9/6/2018,6705.060059,6727.189941,6295.109863,6515.419922,6515.419922,823309044
9/7/2018,6515.419922,6549.390137,6345.47998,6411.779785,6411.779785,344487244
9/8/2018,6413.120117,6480.569824,6134.759766,6200.160156,6200.160156,317380272
9/9/2018,6200.22998,6451.25,6161.830078,6249.069824,6249.069824,244400344
9/10/2018,6249.069824,6371.419922,6247.640137,6324.430176,6324.430176,320435279
9/11/2018,6324.430176,6415.509766,6199.189941,6295.540039,6295.540039,324512939
9/12/2018,6295.540039,6357.890137,6208.279785,6337.109863,6337.109863,332537236
9/13/2018,6337.080078,6534.890137,6337.080078,6492,6492,425090869
9/14/2018,6492.169922,6591.589844,6393.839844,6486.009766,6486.009766,377989402
9/15/2018,6485.390137,6573.189941,6473.470215,6522.080078,6522.080078,208349557
9/16/2018,6522.680176,6525.049805,6404.310059,6502.439941,6502.439941,200545603
9/17/2018,6502.439941,6538.819824,6216.830078,6261.47998,6261.47998,399675966
9/18/2018,6261.330078,6393.390137,6238.25,6346.439941,6346.439941,348485895
9/19/2018,6346.439941,6522.899902,6131.02002,6398.799805,6398.799805,452379323
9/20/2018,6398.830078,6551.930176,6361.330078,6505.899902,6505.899902,301619960
9/21/2018,6505.970215,6785.220215,6501.009766,6762.060059,6762.060059,569642976
9/22/2018,6762.069824,6834.490234,6633.009766,6716.600098,6716.600098,261159308
9/23/2018,6716.600098,6768.560059,6663.899902,6702.700195,6702.700195,169080003
9/24/2018,6702.72998,6717.600098,6557.819824,6583.529785,6583.529785,324660682
9/25/2018,6583.529785,6583.540039,6333.209961,6437.740234,6437.740234,420279170
9/26/2018,6437.740234,6543.919922,6383.160156,6462.600098,6462.600098,264402806
9/27/2018,6462.600098,6733.939941,6434.759766,6686.129883,6686.129883,345096700
9/28/2018,6686.129883,6806.100098,6545.410156,6635.379883,6635.379883,497340510
9/29/2018,6635.399902,6635.419922,6474.22998,6603.75,6603.75,245055396
9/30/2018,6603.75,6741.959961,6543.680176,6623.709961,6623.709961,174302164
10/1/2018,6623.819824,6662.600098,6510.540039,6594.97998,6594.97998,256959931
10/2/2018,6594.97998,6618.950195,6478.040039,6525.470215,6525.470215,267166277
10/3/2018,6525.459961,6537.069824,6428.97998,6492.259766,6492.259766,306385346
10/4/2018,6492.609863,6622.319824,6486.859863,6579.790039,6579.790039,277614018
10/5/2018,6580,6683.549805,6546.97998,6632.870117,6632.870117,262562344
10/6/2018,6632.879883,6637.080078,6563.25,6589.939941,6589.939941,162722103
10/7/2018,6589.939941,6622.490234,6535.02002,6601.149902,6601.149902,179378859
10/8/2018,6601.459961,6698.310059,6565.009766,6650.069824,6650.069824,313507433
10/9/2018,6650.069824,6657,6589.390137,6631.790039,6631.790039,213976678
10/10/2018,6631.790039,6633.220215,6487.859863,6581.069824,6581.069824,323664963
10/11/2018,6581.069824,6581.589844,6171.950195,6209.470215,6209.470215,654924117
10/12/2018,6209.470215,6296.560059,6173.859863,6250.850098,6250.850098,289840137
10/13/2018,6252.100098,6280.72998,6238.919922,6267.27002,6267.27002,137705035
10/14/2018,6267.27002,6346.560059,6247.169922,6277.72998,6277.72998,215422888
10/15/2018,6277.72998,7234.830078,6244.77002,6612.359863,6612.359863,1190524168
10/16/2018,6612.689941,6724.910156,6545.540039,6583.049805,6583.049805,324232509
10/17/2018,6583.049805,6589.200195,6511.600098,6574.52002,6574.52002,220418636
10/18/2018,6576.399902,6616.27002,6445.049805,6488.720215,6488.720215,331761115
10/19/2018,6489.370117,6503.089844,6449.359863,6469.279785,6469.279785,237855085
10/20/2018,6469.279785,6645.200195,6395.450195,6490.560059,6490.560059,127185847
10/21/2018,6490.600098,6557.390137,6474.470215,6509.870117,6509.870117,105283929
10/22/2018,6509.870117,6531.22998,6460.379883,6483.22998,6483.22998,202766914
10/23/2018,6484.319824,6496.200195,6438.990234,6470.220215,6470.220215,220913293
10/24/2018,6470.629883,6538.350098,6465.72998,6476.25,6476.25,222068131
10/25/2018,6476.52002,6497.899902,6432.299805,6462.77002,6462.77002,231214963
10/26/2018,6462.77002,6514,6441.810059,6457.209961,6457.209961,215447656
10/27/2018,6457.209961,6479,6445.950195,6470.169922,6470.169922,124066466
10/28/2018,6470.169922,6483.240234,6444.740234,6470.740234,6470.740234,109118160
10/29/2018,6470.740234,6483.390137,6282.580078,6313.910156,6313.910156,342463526
10/30/2018,6314.379883,6340.680176,6286.299805,6309.109863,6309.109863,269592154
10/31/2018,6309.109863,6391.25,6241.490234,6342.609863,6342.609863,245357244
11/1/2018,6342.810059,6402.589844,6322.600098,6381.299805,6381.299805,199861220
11/2/2018,6381.299805,6420.930176,6371.569824,6394.660156,6394.660156,179385606
11/3/2018,6394.649902,6398.089844,6336.959961,6376.319824,6376.319824,183565304
11/4/2018,6376.549805,6498.160156,6351.919922,6467.049805,6467.049805,175805188
11/5/2018,6467.049805,6475.799805,6406.689941,6433.740234,6433.740234,155758902
11/6/2018,6433.529785,6482.810059,6412.560059,6479.720215,6479.720215,239808254
11/7/2018,6479.720215,6562.790039,6476.589844,6529.680176,6529.680176,360052788
11/8/2018,6530.939941,6542.419922,6438.27002,6446.060059,6446.060059,273205386
11/9/2018,6446.060059,6457.970215,6352.450195,6377.990234,6377.990234,237893036
11/10/2018,6377.990234,6419.919922,6376.169922,6396.370117,6396.370117,94313328
11/11/2018,6396.390137,6414.180176,6326.379883,6408.180176,6408.180176,130156001
11/12/2018,6408.180176,6435.410156,6350.870117,6375.080078,6375.080078,181575610
11/13/2018,6375.080078,6389.430176,6315.580078,6339.169922,6339.169922,227689745
